F-1,F0,A0,C1,D1,G1,A1,A♯1,C2,C♯2,D2,E2,F2,F♯2,G2,G♯2,A2,A♯2,B2,C3,C♯3,D3,D♯3,E3,F3,F♯3,G3,G♯3,A3,A♯3,B3,C4,C♯4,D4,D♯4,E4,F4,F♯4,G4,G♯4,A4,A♯4,B4,C5,C♯5,D5,D♯5,E5,F5,F♯5,G5,G♯5,A5,A♯5,B5,C6,C♯6,D6,D♯6,E6,F6,F♯6,G6,G♯6,A6,A♯6,C7,D♯7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.97,0,0,0,0,0,0,0,0,0,0,10.11,77.24,0,0,0,0,0,0,0,0,0,0,0,39.88,0,0,0,0,0,0,14.17,0,0,14.04,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.09,0,0,15.04,95.08,0,10.47,16.55,0,63.35,11.86,0,10.85,10.17,21.24,151.78,46.09,11.25,10.53,0,13.31,116.40,17.42,0,0,0,15.49,59.63,20.43,25.61,212.16,21.08,0,14.68,0,11.47,0,0,12.74,0,0,0,56.85,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,0,11.28,0,0,0,80.84,0,0,0,0,86.85,0,0,0,0,0,157.13,40.00,0,0,0,0,133.70,0,0,0,0,0,74.36,15.89,20.11,27.69,18.09,0,24.50,0,0,0,0,10.84,0,0,0,62.79,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,0,0,0,0,74.65,0,0,0,19.15,61.40,0,0,0,0,0,57.08,54.90,0,0,0,13.69,86.34,0,0,0,0,0,25.09,15.21,0,26.35,0,0,18.88,0,0,0,0,0,0,0,0,23.49,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.04,0,0,58.75,0,0,11.87,0,56.41,0,0,15.25,0,32.88,248.64,18.01,12.31,0,13.72,10.66,80.09,11.84,12.09,0,0,15.93,70.63,0,12.59,29.10,20.89,344.94,41.09,11.57,0,0,0,0,0,0,0,20.24,0,40.70,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29,0,10.17,25.90,0,0,0,0,56.35,0,0,0,14.38,0,286.34,37.09,15.14,0,0,10.87,81.57,0,0,0,0,0,102.23,11.20,0,53.45,13.64,18.24,54.05,0,0,0,0,0,10.35,0,0,0,0,17.68,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78,0,0,22.89,0,0,0,15.83,52.72,0,0,0,0,0,81.52,27.39,12.45,0,0,0,61.88,0,0,0,0,0,43.36,11.03,0,30.78,0,186.31,34.54,0,0,0,0,0,0,0,0,0,0,14.02,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,11.38,0,12.61,22.41,0,0,0,0,51.82,0,0,10.17,10.60,0,73.51,0,0,0,0,0,37.06,0,13.16,0,0,14.42,10.62,15.53,21.54,93.96,10.61,70.65,28.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,43.74,0,0,0,0,0,0,0,12.68,20.47,0,14.30,21.94,0,10.45,0,0,35.29,16.90,13.87,13.95,15.26,0,51.96,32.83,0,0,0,40.81,19.60,0,11.06,0,0,28.90,21.52,17.05,40.29,209.00,34.46,31.65,18.33,0,0,0,0,0,0,0,0,24.59,0,0,0,0,0,0,0
0,0,10.20,0,0,0,0,0,0,0,0,51.66,0,0,0,0,0,0,0,0,0,0,19.83,0,0,0,0,0,0,13.96,0,0,0,18.12,31.83,0,0,0,37.90,0,0,22.99,0,0,25.70,15.60,0,15.33,228.07,0,0,0,0,0,0,0,0,0,0,0,16.94,0,0,0,0,0,0,0
